user_id,username,Average_Comments
104,diana_travel,78.0000
105,evan_fit,95.0000
109,ian_gaming,112.0000
111,kevin_photo,52.0000
114,nina_travel,67.0000
117,quincy_music,59.0000
119,sam_gaming,98.0000
124,xena_travel,54.0000
129,cara_gaming,76.0000
131,ella_photo,51.0000
134,henry_travel,63.0000
137,kate_music,57.0000
139,mia_gaming,84.0000
144,rose_travel,58.0000
149,willa_gaming,92.0000
151,yara_photo,53.0000
154,brian_travel,61.0000
157,emma_music,56.0000
159,gia_gaming,79.0000
164,liam_travel,64.0000
169,quinn_gaming,87.0000
171,sam_photo,54.0000
174,vicky_travel,65.0000
177,yara_music,60.0000
179,amy_gaming,82.0000
181,cara_photo,52.0000
184,finn_travel,68.0000
189,kate_gaming,85.0000
191,mia_photo,56.0000
194,peter_travel,66.0000
197,steve_music,63.0000
199,umar_gaming,95.0000
