post_id,user_id,username,content,post_date,likes,comments,shares,post_type
100,200,vicky_food,"Matcha latte art ","2023-07-21 10:15:00",620,45,24,image
99,199,umar_gaming,"CS:GO tournament finals","2023-07-20 18:30:00",1400,95,70,video
98,198,tara_art,"Inktober day 1 drawing","2023-07-20 11:45:00",390,27,11,image
97,197,steve_music,"Piano jazz improvisation","2023-07-19 20:10:00",890,63,38,video
96,196,rose_style,"Vintage thrift finds ","2023-07-19 13:25:00",350,24,9,image
95,195,quinn_cook,"Eggs Benedict tutorial ","2023-07-18 17:40:00",570,42,22,image
94,194,peter_travel,"Skiing in the Swiss Alps ","2023-07-18 10:55:00",940,66,45,image
93,193,olivia_tech,"How I organize my Notion","2023-07-17 15:20:00",660,49,22,video
92,192,noah_fitness,"Yoga for back pain relief","2023-07-17 08:35:00",420,30,12,reel
91,191,mia_photo,"Black & white street photography","2023-07-16 20:50:00",780,56,32,image
90,190,leo_food,"Authentic tacos al pastor ","2023-07-16 14:05:00",680,49,27,image
89,189,kate_gaming,"Minecraft mega build tour","2023-07-15 22:20:00",1250,85,63,video
88,188,jack_art,"Chalk art festival entry","2023-07-15 15:35:00",360,25,10,image
87,187,ivy_books,"Book club meeting today!","2023-07-14 20:00:00",220,16,5,text
86,186,henry_gadgets,"VR headset first impressions","2023-07-14 13:15:00",500,38,17,video
85,185,grace_bake,"Lemon meringue pie ","2023-07-13 17:30:00",510,37,18,image
84,184,finn_travel,"Backpacking through Vietnam","2023-07-13 10:45:00",970,68,44,image
83,183,ella_tech,"My coding setup for 2023","2023-07-12 15:10:00",640,47,21,video
82,182,dave_fit,"Kettlebell workout routine","2023-07-12 08:25:00",450,33,13,reel
81,181,cara_photo,"Sunflower field portraits ","2023-07-11 16:40:00",730,52,29,image
80,180,ben_food,"Breakfast burrito recipe ","2023-07-11 09:55:00",600,44,23,image
79,179,amy_gaming,"League of Legends pentakill","2023-07-10 18:10:00",1200,82,60,video
78,178,zack_art,"Oil painting techniques","2023-07-10 11:25:00",370,26,10,image
77,177,yara_music,"Guitar cover of "Wonderwall"","2023-07-09 19:50:00",850,60,36,video
76,176,xena_style,"Accessory haul ","2023-07-09 13:05:00",320,22,8,image
75,175,will_cook,"Homemade ramen bowl ","2023-07-08 17:20:00",550,40,21,image
74,174,vicky_travel,"Hot air balloon festival ","2023-07-08 10:35:00",920,65,43,image
73,173,umar_tech,"Building a Raspberry Pi cluster","2023-07-07 15:00:00",590,43,19,video
72,172,tara_fitness,"Pilates for beginners","2023-07-07 08:15:00",410,29,11,reel
71,171,sam_photo,"Astrophotography attempt ","2023-07-06 21:30:00",760,54,31,image
70,170,riya_food,"Chocolate chip cookies ","2023-07-06 14:45:00",670,48,26,image
69,169,quinn_gaming,"Zelda: Tears of the Kingdom 100%","2023-07-05 23:00:00",1300,87,64,video
68,168,pablo_art,"Pottery class results ","2023-07-05 16:15:00",340,24,9,image
67,167,olivia_books,"Favorite fantasy novels list","2023-07-04 20:40:00",250,19,6,text
66,166,nathan_gadgets,"Drone footage compilation ","2023-07-04 13:55:00",490,36,16,video
65,165,maya_bake,"Red velvet cupcakes ","2023-07-03 18:10:00",530,38,19,image
64,164,liam_travel,"Scuba diving in the Maldives ","2023-07-03 11:25:00",900,64,42,image
63,163,kate_tech,"Setting up a home server","2023-07-02 15:50:00",620,45,20,video
62,162,jake_fit,"5-minute ab workout ","2023-07-02 09:05:00",430,31,12,reel
61,161,isla_photo,"Foggy forest morning ","2023-07-01 17:20:00",710,50,28,image
60,160,hugo_food,"French onion soup recipe ","2023-07-01 10:35:00",580,42,22,image
59,159,gia_gaming,"Apex Legends clutch moment","2023-06-30 18:50:00",1150,79,58,video
58,158,finn_art,"Graffiti mural progress ","2023-06-30 12:05:00",360,25,10,image
57,157,emma_music,"Singing my original song!","2023-06-29 20:30:00",790,56,35,video
56,156,dylan_style,"Winter fashion lookbook ","2023-06-29 13:45:00",300,21,8,image
55,155,cara_cook,"Gluten-free pancakes ","2023-06-28 18:00:00",490,36,17,image
54,154,brian_travel,"Road trip across Route 66 ","2023-06-28 11:15:00",880,61,39,image
53,153,ava_tech,"Best budget laptops 2023","2023-06-27 15:40:00",550,41,18,video
52,152,zane_fitness,"Post-workout meal prep ","2023-06-27 08:55:00",400,28,11,reel
51,151,yara_photo,"Pet photography workshop ","2023-06-26 21:10:00",740,53,30,image
50,150,xander_food,"Thai green curry recipe ","2023-06-26 14:25:00",650,46,25,image
49,149,willa_gaming,"Speedrunning Mario 64","2023-06-25 22:40:00",1400,92,68,video
48,148,vince_art,"Digital art commission open!","2023-06-25 15:55:00",330,23,10,image
47,147,uma_books,"Reading challenge update: 20/50","2023-06-24 19:20:00",230,17,5,text
46,146,tara_gadgets,"Smartwatch comparison 2023","2023-06-24 12:35:00",470,35,15,video
45,145,steve_bake,"Sourdough bread tutorial ","2023-06-23 16:50:00",520,37,20,image
44,144,rose_travel,"Northern lights in Iceland ","2023-06-23 10:05:00",830,58,37,image
43,143,quinn_tech,"DIY home automation project","2023-06-22 14:30:00",610,44,19,video
42,142,peter_fit,"Marathon training day 30 ","2023-06-22 07:45:00",440,32,13,reel
41,141,olivia_photo,"Underwater photography ","2023-06-21 17:00:00",690,48,27,image
40,140,noah_food,"Pasta carbonara recipe","2023-06-21 10:15:00",570,40,21,image
39,139,mia_gaming,"Valorant tournament highlights","2023-06-20 18:30:00",1250,84,62,video
38,138,leo_art,"Watercolor landscape","2023-06-20 11:45:00",350,24,9,image
37,137,kate_music,"Piano cover of Clocks","2023-06-19 20:10:00",810,57,34,video
36,136,jack_style,"Formal wear inspiration ","2023-06-19 13:25:00",270,18,6,image
35,135,ivy_cook,"Vegan brownie recipe ","2023-06-18 16:40:00",480,35,16,image
